Filename,Label,Contrast0,Contrast45,Contrast90,Contrast135,Homogeneity0,Homogeneity45,Homogeneity90,Homogeneity135,Dissimilarity0,Dissimilarity45,Dissimilarity90,Dissimilarity135,Entropy0,Entropy45,Entropy90,Entropy135,ASM0,ASM45,ASM90,ASM135,Energy0,Energy45,Energy90,Energy135,Correlation0,Correlation45,Correlation90,Correlation135
"N43,N,F,24_1_0.jpg",NormalFinal,24.403165266106445,59.20821902437656,36.93434817596567,56.54676989536873,0.5016350316082483,0.39044031018091907,0.5099485118730723,0.39107020727915165,2.6242969187675067,4.2947908777244805,3.1527405221745353,4.237757019832253,7.12583901517587,7.581134481685474,7.239936470082164,7.571746167932235,0.00263232924542366,0.002132187275636843,0.0027195220483007144,0.002138405139690308,0.05130623008391534,0.046175613430000505,0.052149036887565954,0.04624289285598716,0.9977530528820369,0.9945447601210021,0.9965983735549755,0.994789961901733
"N44,N,M,8_1_0.jpg",NormalFinal,32.065535014005604,118.59314987797694,88.90543410228898,109.51980139695364,0.5636805317505638,0.41392233267933554,0.5357996147597055,0.42119186146451404,2.800885154061625,5.711632864876995,4.450800250357654,5.472697691379843,6.113908682513143,6.706119735325794,6.419664840988677,6.671190522808591,0.005133177584759395,0.0035321388188230543,0.004701188842139102,0.0035953057575935678,0.07164619728052142,0.05943179972727609,0.06856521597821377,0.059960868552694994,0.9970470814018777,0.9890710093515053,0.9918093304221555,0.9899070689577951
"N45,N,M,36_1_0.jpg",NormalFinal,27.352308123249298,69.90862015764819,47.189087088698145,67.79476563157452,0.49629221371061927,0.36501065800607935,0.4855595701610371,0.37030547151803894,2.7729131652661065,4.817212264018626,3.5896816881258937,4.681702151533003,6.8028756715986285,7.322126245411483,7.001167043052146,7.294091029440821,0.002187670974272062,0.0013847752582011373,0.0020986155070824184,0.0014256695501206839,0.04677254509081222,0.037212568551514114,0.045810648402772235,0.03775803954286668,0.9974969062442617,0.9936024679681738,0.9956829388234579,0.9937959248030752
"N46,N,M,22_1_0.jpg",NormalFinal,28.021372549019606,75.97089960447698,54.54689176502146,79.66124715980811,0.4899904622410963,0.36099609006452854,0.4798813653199394,0.3564300872246841,2.8902577030812324,5.020152037925327,3.880258628397711,5.114853151561054,7.003283072301069,7.524436005812323,7.21528616305473,7.539787686791788,0.0018242744470337152,0.0011698037180357512,0.0017637091635816467,0.0011445111110218796,0.04271152592724492,0.034202393454782536,0.04199653751896276,0.033830623863917726,0.9974192155936594,0.9929955881373169,0.9949758931837379,0.9926553749601724
"N47,N,F,21_1_0.jpg",NormalFinal,32.03780392156863,71.2857247047603,44.852177217453495,72.05111503828998,0.4961112216160367,0.38132169342310074,0.5091173116411769,0.3840247134519056,3.0210308123249305,4.682139751465678,3.3770341559370527,4.6944206008583675,6.992575819643944,7.400712006528811,7.037002805376005,7.397952292066424,0.0017343054555155402,0.0011368529367270907,0.0017962103489953805,0.0011417460351442036,0.04164499316263049,0.0337172498393195,0.04238172187388545,0.033789732688262034,0.997050881699912,0.9934334424084542,0.9958699361406135,0.9933629257992714
"N49,N,F,50_1_0.jpg",NormalFinal,15.428336134453785,30.77405256809448,18.103635774320455,31.192987180566075,0.5876779456432528,0.46134586097503516,0.5706826114090027,0.46281935099853,1.9780504201680673,3.066728379477685,2.194278657010014,3.0997671743947937,6.554637245379971,6.945371218070758,6.62948052842802,6.952986572957241,0.002971061491263173,0.0020506146415484247,0.0028010058762789297,0.002052766600800497,0.05450744436554674,0.045283712762409674,0.05292453000527194,0.04530746738453273,0.9985853373637364,0.9971761571460321,0.9983392312446218,0.9971377169388805
"N5,N,14,M_1_0.jpg",NormalFinal,16.940991596638654,39.05069987937951,25.351400438125893,39.60270975342927,0.5733745286197227,0.44284497828903424,0.5363710183642185,0.4379695399284473,2.068196078431372,3.382198659148924,2.578410005364807,3.4271760778703473,6.7901281803998215,7.228730204776103,6.956993043212112,7.2431131618294184,0.0034193893400497445,0.0027416630816088756,0.003231855875643547,0.0027259008901074334,0.05847554480335985,0.05236089267391147,0.056849414030784404,0.0522101607937328,0.9985593066246793,0.996679045989688,0.997844748597937,0.9966320872234308
"N5,N,F,31_1_0.jpg",NormalFinal,50.51975910364145,66.32979887233864,29.248139082618025,79.81115879828326,0.4996998224348076,0.40249711096581875,0.5373967231217684,0.38644443830309755,3.1821008403361346,4.1009902101040705,2.5522453952074393,4.394445847008332,7.667473996930915,7.973359344918558,7.492979058794374,8.029847684211957,0.0011896074822085698,0.0008745453591462592,0.0013668640836635411,0.0008355938910585331,0.03449068689093579,0.02957271308396068,0.03697112499861941,0.028906640950801133,0.9953214723594151,0.9938467255418982,0.997291903662528,0.9925961324461452
"N50,N,F,21_1_0.jpg",NormalFinal,33.22149579831934,81.62857864175713,53.814791219599435,81.61398636707902,0.4912256716079715,0.37292994410220565,0.493086800508973,0.3726179546889303,3.0647114845938384,5.023411596398216,3.720147085121602,5.0111531880277145,7.190345556982516,7.657190485872441,7.300406670524016,7.654537761129079,0.001644782697392683,0.001116288955688684,0.0016562296400826513,0.0011196780227931658,0.04055592062070201,0.03341091072821398,0.04069680134952441,0.03346159026097185,0.9969265024470717,0.9924427373653417,0.9950220670358302,0.9924440578730579
"N51,N,19,F_1_0.jpg",NormalFinal,38.989394957983194,97.19303767286597,64.67806129291846,93.09467306235798,0.5052586013103452,0.37428400562679015,0.4878803764806543,0.3744638016233319,3.145148459383754,5.248040618250161,3.9090721119456364,5.179892844119049,6.836609752219662,7.320828473137498,6.995338339335667,7.3165021624260165,0.003168875048058439,0.0023828164757740185,0.0030416726511227577,0.002395760304278141,0.05629276195087996,0.048814101198055654,0.055151361280776724,0.04894650451542113,0.9963834295319366,0.9909776713915304,0.9939971656967223,0.991358148667852
"N52,N,47,F_1_0.jpg",NormalFinal,19.991607843137253,49.83007096973268,32.95301882153077,48.282947628264466,0.5460998820003586,0.41773364109014954,0.5294140470584677,0.41703509399316174,2.3655462184873945,3.9319756514909256,2.9269436248211735,3.9020673791691216,6.780446010184892,7.248245045267919,6.938450041252982,7.2439508907850705,0.002186487693116462,0.0014468871245926459,0.0020558434850055317,0.0014429594263726867,0.046759894066565874,0.038037969511957995,0.045341410267056445,0.037986305774221935,0.998151624069869,0.9953877445044993,0.9969531134185865,0.9955309428817551
